# Pick And Place List
# eMail=
#
# Project=OBR2026back
# Date=14:23:34
# CreatedBy=Fritzing 1.0.5.2025-04-02.CD-2185-0-b9add9ea
#
# Coordinates in mils, always center of component
# Origin 0/0=Lower left corner of PCB. Rotation in degree (0-360, math. pos.)
RefDes,Description,Package,X,Y,Rotation,Side,Mount
Description: resistance;capacitance;inductance;voltage;current;power;mpn;mn;
Via15,";;;;;;;;","",3839.86,3756.87,0,Top,MANUAL
Via4,";;;;;;;;","",532.781,4977.34,0,Top,MANUAL
Via70,";;;;;;;;","",1398.92,3953.72,0,Top,MANUAL
Via38,";;;;;;;;","",4233.57,2615.14,0,Top,MANUAL
Via17,";;;;;;;;","",3957.97,3835.6,0,Top,MANUAL
Distancia G,";;;;;;;;","THT",3632.39,5843.48,-90,Top,THT
Via74,";;;;;;;;","",1792.62,3796.24,0,Top,MANUAL
Jumper21,";;;;;;;;","",1367.03,2300.17,0,Top,MANUAL
Cores,";;;;;;;;","THT",2934.36,4347.42,-90,Top,THT
Via40,";;;;;;;;","",4076.09,2536.39,0,Top,MANUAL
Via52,";;;;;;;;","",690.262,3245.06,0,Top,MANUAL
Via48,";;;;;;;;","",847.742,3481.27,0,Top,MANUAL
Jumper2,";;;;;;;;","",2501.29,961.587,0,Top,MANUAL
Via18,";;;;;;;;","",572.151,3323.79,0,Top,MANUAL
Via44,";;;;;;;;","",769.002,3048.2,0,Top,MANUAL
Via12,";;;;;;;;","",4194.2,2024.58,0,Top,MANUAL
Via8,";;;;;;;;","",375.301,2103.33,0,Top,MANUAL
Via55,";;;;;;;;","",2658.76,2497.03,0,Top,MANUAL
Linhas,";;;;;;;;","THT",1931.99,5371.04,90,Top,THT
Via7,";;;;;;;;","",532.781,3402.54,0,Top,MANUAL
Bateria,";;;3V;;;;;","",4666.64,2683.25,180,Top,MANUAL
S1,";;;;;;;;","",178.45,4959.23,0,Top,MANUAL
Via9,";;;;;;;;","",532.781,2103.33,0,Top,MANUAL
Via84,";;;;;;;;","",4469.79,3205.68,0,Top,MANUAL
Jumper12,";;;;;;;;","",3493.01,4229.31,0,Top,MANUAL
Via47,";;;;;;;;","",926.482,3245.06,0,Top,MANUAL
Via1,";;;;;;;;","",4627.27,2930.09,0,Top,MANUAL
Via41,";;;;;;;;","",375.301,3560.02,0,Top,MANUAL
+- Ponte H,";;;3V;;;;;","",4666.64,3234.42,180,Top,MANUAL
Via59,";;;;;;;;","",2934.35,2733.25,0,Top,MANUAL
Via6,";;;;;;;;","",375.301,3402.54,0,Top,MANUAL
Via46,";;;;;;;;","",926.482,3481.27,0,Top,MANUAL
Jumper4,";;;;;;;;","",2580.03,4229.31,0,Top,MANUAL
Via75,";;;;;;;;","",1792.62,3993.08,0,Top,MANUAL
Via62,";;;;;;;;","",2343.81,2575.76,0,Top,MANUAL
Cores,";;;;;;;;","THT",1792.62,4347.42,-90,Top,THT
PonteH,";;;;;;;;","",4077.7,2908.95,180,Top,MANUAL
Via2,";;;;;;;;","",4469.79,2930.09,0,Top,MANUAL
Via57,";;;;;;;;","",2776.87,2575.76,0,Top,MANUAL
Via37,";;;;;;;;","",4076.09,2615.14,0,Top,MANUAL
Via19,";;;;;;;;","",454.041,3323.79,0,Top,MANUAL
Via67,";;;;;;;;","",3013.1,3087.57,0,Top,MANUAL
Distancia,";;;;;;;;","THT",1112.7,5843.48,-90,Top,THT
Via45,";;;;;;;;","",769.002,2890.73,0,Top,MANUAL
Via79,";;;;;;;;","",3524.91,1512.77,0,Top,MANUAL
